Sentence,Sentiment
assa abloy kaupthing bank gave neutral recommendation share price target crown euro swedish lock maker assa abloy ab,neutral
item included restructuring cost eur year earlier eur diluted eps stood eur versus loss per share eur,positive
bank posted net profit lt mn,neutral
aapl afternoon selloff usual brutal get ready lose ton money,negative
tsla recalling pretty much every single model x cnnbrk got short even work jump money trade,negative
dolce gabbana asked european union declare marimekko corporation unikko floral pattern trademark invalid continuing dispute two company,negative
intercontinental hotel first quarter global room revenue lag estimate,negative
according finnish pension insurance company varma varma recipient two third revenue earnings related pension cover competitive tendering finland,positive
portion million recorded part winning prior patent dispute finnish phone maker nokia oyj,positive
l g still paying price dividend cut crisis chief say,negative
volume investment two phase project estimated usd mn eur mn,neutral
russia accounted lagardere magazine division revenue eur mn usd mn usa,neutral
company also estimate already carried investment lead increase net sale reached eur million,positive
profit accounting period eur mn,neutral
six brewery recorded percent growth domestic beer sale last year million liter million liter sold,positive
august october company result tax totalled eur mn eur mn corresponding period,positive
systeemitiimi sale project resource also strengthened director paul skogberg said,positive
tesco share price jump q sale top estimate,positive
fine print,neutral
price log clearly improved also price pulpwood gone,positive
thus sysopen digia accordance chapter section finnish company act obtained title share sentera redeemed,neutral
diluted earnings per share eps fell eur eur,neutral
p eastern time block contract changed hand bid price,neutral
recent technology delivery include refinery technology anrak aluminium iron ore pelletizing plant tata steel iron ore sintering plant bhushan steel,neutral
vip similar pattern like beginning may u sell go much higher drop,positive
firm generated sale mln eur,neutral
stora enso also meeting labor authority employment economic development centre representative government order find solution,neutral
astrazeneca profit sale stalwart fade,negative
rt andrewnyquist chartology yahoo http stks co itr yhoo crazy looking chart nearing breakout resistance line,positive
bullish stock twitter dip yhoo gdx googl stz gold ew vz celg sbux scty http co iuzjelfwt,positive
finnish geosentric net sale decreased eur january march,negative
cohen steer inc share representing share capital voting right,neutral
staff recruited japan complement network close service location country worldwide,positive
paper company negative territory stora enso r shedding pct eur upm kymmene pct eur real b pct lower eur,neutral
kauko telko centralized administration dissolved appropriate part transferred operating activity group administration end year,neutral
operating profit quarter april june amounted eur sale eur bn,neutral
atrium chose delight attract consumer age group atrium fresh range microwaveable meal,neutral
finnish solution provider affecto oyj hel afev said today slipped net loss eur usd second quarter profit eur corresponding period year earlier,neutral
u sanction put gazprom shell alliance plan jeopardy,negative
profit period eur mn eur mn,neutral
profit period eur mn eur mn,positive
operating profit fell eur mn eur mn second quarter,neutral
however sale returned growth april june ceo pekka eloholma said,positive
operating profit totaled eur mn net sale,neutral
change market situation tougher price competition substantially reduced demand bread packaging manufactured kauhava plant according company,negative
connection deal digia employ person nokia oslo silicon valley usa,neutral
brazilian unit finnish security solution provider f secure signed new client last year online news source reseller web quoted division commercial director vladimir brand úo saying,positive
fair value company investment property went eur billion end eur billion year earlier,neutral
dealer said share largely hit investor disappointment refining margin usd per barrel quarter performance shipping unit saw ebit drop mln eur mln eur year amid fall volume tanker rate,negative
testament quality lte solution commitment japanese market added,neutral
company aim finalize negotiation sign contract start october,neutral
metso foundry jyvaskyla oy discontinue production line september company said,neutral
total six polled analyst rated real two gave buy accumulate three gave hold one gave sell,neutral
september finnish group agreed buy danish company rose poultry eur combination cash stock,positive
yang double bottom,positive
tesco share price grocer face sfo investigation outcome,negative
aapl news becoming bullish http stks co tmu,positive
g engineering install valve liquefied natural gas lng plant built uae lng extraction gas plant operator gasco ruwais uae,neutral
percentage share voting right calculated proportion total number share registered trade register total number voting right related,neutral
real said ground rumor circulating market month,neutral
lember said matter topical also estonia bill drafted social affair ministry would scrap old age pension favorable condition,neutral
moody said gave p long term senior unsecured p p short term debt rating finnish lender aktia bank eurbn usd bn euro medium term note emtn program march,neutral
tsla recall,negative
liquidity providing interrupted may aspocomp group oyj share traded cent aspocomp stock exchange release,neutral
hargreaves lansdown buck weak market see asset rise percent,positive
pm omx helsinki index pct lower,negative
decision mean temporary lay offs fixed duration company nastola jyvaskyla unit southern central finland respectively,neutral
value order eur mn,neutral
m laakso responsible hkscan hr function development group smarket area,neutral
fiskars also engaged global supply marine energy equipment solution service associated company wartsila corporation,neutral
aberdeen asset management gain foothold china,positive
finland dominating rail company vr planning set infected passenger long distance trip separate carriage,neutral
november finnish government decreased ownership company percent percent,neutral
finnish exel composite technology company design manufacture market composite profile tube various industrial application report net sale decreased second quarter eur mn eur mn corresponding period,neutral
bavelloni nst joint venture bavelloni tool completes semiproducts produced italy high quality tool sold diapol brand,neutral
tool patent pending design allows consumer lay entire project removable plate using multiple clear stamp kind,neutral
googl short upper bb overbought,negative
light curfew curl latest bestseller treat eye perfect reading light luceplan,neutral
upm kymmene corp world largest maker magazine paper tuesday reported percent profit drop lower paper price higher cost strong euro hurt revenue,negative
total value contract eur million,neutral
prerequisite inclusion program receipt gain key employee acquire aspo share amount determined board advance maximum,neutral
mr doring eaton since acted business unit manager eaton power control business unit since january,neutral
sq sq ft store copenhagen premier shopping district inaugurated today strengthening company presence nordic capital,positive
financial statement first quarter tikkurila reported discontinued operation,neutral
world second largest stainless steel maker said net profit three month period dec surged euro million u million euro u per share euro million euro per share previous year,positive
name applicant jot automation oyname inventor mammila tuomo piirainen mika kellokoski mikaapplication kolnp adate filing application publication date,neutral
netflix grows effort create loyal customer nflx http co qxbkobphe,positive
omx nordic omxn index comprising traded nordic stock nasdaq omx exchange closed point thursday,negative
aapl nibbling small long via buying min chart,positive
operating margin aker yard cruise ferry division went first quarter,negative
tyc break new high lot technical looking great right,positive
eero katajavuori currently group vice president human resource take year long sabbatical starting october,neutral
whats lulu number looked good not great good think conference call instill confidence,neutral
adjustment measure carried phase secure delivery capability,neutral
alma medium corporation press release march tyrvaan sanomat paikallissanomat bought suomen paikallissanomat two local paper tyrvaan sanomat paikallissanomat appearing sastamala neighbouring municipality bought suomen paikallissanomat oy,neutral
temporary lay offs affecting entire workforce also implemented,negative
meeting medium analyst held day stonesoft headquarters helsinki italahdenkatu interim report presented stonesoft ceo ilkka hiidenheimo,neutral
finnish sampo rosenlew manufacture approximately seven forest machine monthly half machine exported,neutral
facebook near buy point last week face different technical test today http co cllmpinm fb aapl nflx http co fpfbytypuy,positive
february finnish broadband data communication system provider teleste oyj hel tltv said wednesday net profit rocketed eur eur lifted dividend proposal,positive
free ha heeeeeere come pump glad picked k end day get ready bull ride,positive
finnish technology group aspocomp group oyj omx helsinki acgv issued third quarter report thursday november posting operating profit eur compared loss eur third quarter,positive
building complex consists high quality office retail space totalling square metre company said,neutral
finnish insurance company fennia kesko group ending loyal customer cooperation,neutral
unit planned operational second half full stream,neutral
itg share deal estimated euro,neutral
plant expected enter commercial operation mid,neutral
aspo also investigated sale opportunity kaukomarkkinat electronics business,neutral
bg group appoints new ceo one month early,neutral
acquisition immediate positive impact aspocomp financial result,positive
finnair passenger load factor measure number sold seat share available seat dropped percentage point september,negative
rt bman lng look primed also eght poised run,positive
also pct month volume weighted average price stock,positive
coke dividend google dividend passive income coke take goog ko http co qbsowjxost,neutral
profit tax eur mn eur mn year earlier,positive
subsidiary setting facility manufacturing high density interconnection printed circuit board pcbs nokia special economic zone sriperumbudur near chennai,neutral
crm sep call since entry bang http stks co dedm,positive
january june diluted loss per share stood eur versus eur first half,negative
rapala said estimate make saving mln eur year centralising french operation one site,positive
vmw got nice push today following small sweeper may c morning,positive
topped consensus forecast earnings euro share,positive
r loan,neutral
future company intends look know outside company cooperate actor sector,positive
need ready window open rosberg said,neutral
tonne asphalt mix used contract,neutral
pa jpmorgan chase co nyse jpm pohjoa bank joint lead manager senior unsecured deal,neutral
ctrp breaking good vol parser buy signal noticed bob langs comment looking fast,positive
sale finland decreased january sale outside finland dropped,neutral
pulp production finnish kemij ñrvi also liquidated employee loose job,negative
nordea cheapest also couple debt,neutral
jussi pesonen member sampo board since renounce seat sampo board,neutral
tesla recalling model x car http co zbkvstl tsla,negative
adjusted change group structure division net sale increased,positive
making matter difficult company said grappling higher oil gas price pushed cost energy raw material transportation,neutral
amending proposal simplifies proposed plan increase incentive key employee stay company,positive
solution expanded include ground staff task,neutral
operating loss totalled eur mn compared profit eur mn third quarter,negative
fedday looking sharp move equity aapl hd low fb seeing uvxy tvix getting hammered even though market,positive
net sale totaled eur mn eur mn corresponding period,positive
consequence work council withdrawn petition suspend reorganisation,neutral
ceo erkki j ñrvinen happy company performance,positive
comparable net sale expected increase line group target,positive
following transaction lundbeck worldwide right nalmefene excluding north america mexico turkey south korea,positive
government started sell last month putting percent stake teliasonera auction bloc,neutral
report go provide detailed profile ten leading european specialty chemical company brief profile major player,neutral
operating profit net sale three month period increased respectively eur eurm compared corresponding quarter,positive
company expects net sale whole previous year level,neutral
company headquartered sievi finland listed nordic exchange helsinki,neutral
commission income increased eur mn lending volume rose,positive
finnish company sold uk operation consisting staff office london birmingham manchester part deal hampden july european wide property casualty arm sampo industrial,neutral
building home improvement trade sale decreased eur mn,negative
innova building located close downtown immediate vicinity paviljonki travel center within walking distance heart city thanks trade fair bridge,neutral
finnish textile clothing group marimekko oyj posted net profit mln euro mln compared mln euro mln,neutral
main strength cooperation project lie merging know two large company,positive
shareholder right put agenda agm item within competence general meeting,neutral
kazgiprotsvetmet outotec finland signed agreement strategic cooperation marketing providing mineral processing metallurgical plant related service kazakhstan surrounding country,positive
due rapid decrease net sale personnel reduction carried wider scale initially expected,neutral
government instead proposed exchange state stake lmt teliasonera stake lattelecom,neutral
stora due release fourth quarter full year earnings feb,neutral
full year operating result million negative,neutral
nq got hit hard lower look like found support http stks co sz,negative
avc systemhaus net sale eur million usd,neutral
company established g base station foot foot mount everest enable mountain climber foot summit surf internet even send video exploit,positive
offer customer solution based renewable raw material,neutral
survey conducted taloustutkimus sampo life show company badly prepared losing key staff member,neutral
antti orkola president kemira growhow industrial solution unit told thomson financial news company put opening mine price phosphate quite depressed long time,neutral
pretax profit group life insurance business increased eurm eurm,positive
make available following brand new market analysis cement pakistan cement malaysia cement taiwan cement philippine analysis give clear overview actual situation future outlook cement industry asian country,neutral
company serf approximately customer country,neutral
rt alphatrends vmarkets still acting weak http stks co agn spy qqq xlf smh iwm,negative
operating profit totalled eur mn eur mn year earlier,neutral
one installed elevator double deck elevator enables efficient use building core space,positive
helsinki afx outokumpu said agreed sell hitura nickel mine finland canadian group belvedere resource ltd mln eur worth belvedere share,neutral
went long ilmn,positive
social networking location based service trend comprise significant share internet traffic today appealing mid user,neutral
total order value booked fourth quarter remainder booked second quarter,neutral
johnson matthey share price slump company post full year result,negative
not previous share subscription stock option,neutral
affectogenimap build highly customised solution customer finland baltic country,neutral
closing transaction scheduled take place january,neutral
however offering probably not made current valuation partly derives deal company merged stock market shell,neutral
operating result month period decreased profit eur turnover decreased eur compared,neutral
administrator indicated need job cut irish insurer next month,neutral
net sale expected level,neutral
technical indicator stock bullish p give nok positive star buy ranking,positive
revenue quarter totaled billion percent billion fourth quarter,negative
n viro operates processing facility independently well partnership municipality,neutral
number bodily injury case quadrupled,negative
according ringman finnish paper company acquired know capacity paper recycling turned successful strategy,positive
company also said poland profitability program launched oborniki steel frame sandwich panel plant,positive
u energy executive say high steel price threatening energy exploration,negative
tesco sale rise show tentative recovery continues,positive
finland launch tie sale g mobile phone not cause dramatic rush mobile retail outlet first day,neutral
nuan held well big gain maybe finally move still undervalued major upside,positive
company split two part coming month essent owning operating production supply enexis owning operating grid,neutral
official not disclose contract value,neutral
london leading share today jumped almost point market opened,positive
third quarter fiscal efore swung net loss eur versus net profit eur corresponding period fiscal,neutral
group operating loss eur mn profit eur mn,neutral
move triggered weak demand forestry equipment uncertain market situation,negative
combined company pro forma net sale mln euro mln operating profit mln euro mln,neutral
managing director kari inkinen say sponda leasing operation developed highly favourably,positive
march goldman sachs estimate negative prospect norwegian mobile operation norway telenor asa osl tel sweden teliasonera ab sto tlsn short term,negative
tsla steaming stock relentless moment,positive
marathon estimate value remaining stake protalix million,neutral
whitbread share price climb q sale growth,positive
incap contract manufacturing subsidiary incap corporation finland,neutral
operating profit totaled eur mn slightly eur mn corresponding period,positive
went market yield guidance area gave u flexibility go th,neutral
rt stockdemons think shorting close might play spy high beta reversing look worth shot,negative
vdw combined lxe device enhances productivity enabling worker use single device perform voice scanning keyboard function,positive
thus method cut working cost fasten planning building process,positive
talentum net sale september smaller expected,negative
copyright afx news afx financial news logo registered trademark afx news limited,neutral
lnkd daily phase retest price experiencing early rejection retest http stks co txx,negative
rb reportedly appoint howard davy next chairman,neutral
tesco asda sale fall march discounter continues kantar,negative
new version important u introduce bim process based detailed building information model,neutral
sampo plc jarmo salonen head investor relation group communication tel distribution nasdaq omx helsinki principal medium financial supervisory authority www sampo com announcement distributed thomson reuters behalf thomson reuters client,neutral
barronsonline see apple share year today growing service business aapl http co bdneknl,positive
pharmaceutical market poland global research data service published recently market analysis pharmaceutical market poland,neutral
altogether finnair canceled flight strike,negative
employer together health personnel support quitting pay part cost nicotine treatment,neutral
pretax loss totaled eur mn compared loss eur mn corresponding period,neutral
order includes ship crane delivered container feeder built wenchong shipyard china,neutral
copper lead nickel also dropped hbos hbos plummeted penny saying year ó,neutral
goog testing day consolidation http stks co hcpj,positive
join technopolis kone held various position within group recently director service business business development kone middle eastern operation,neutral
succeeded increasing market share sold apartment comment mr kari kauniskangas head yit international construction service,positive
profitability ebit compared previous year period,positive
finnish geosentric net sale decreased eur january march,neutral
plant scheduled completion late february hand area january two supplier nokia aspocomp group oyj perlos announced plan establish plant within nokia complex together invest r crore,neutral
upm kymmene upgraded line underperform goldman sachs,positive
slump weir lead ftse record high,negative
jan ford struggling face slowing truck suv sale surfeit date got ta car,neutral
royal mail breached competition law delivery service change ofcom claim,negative
cooperation involve arena partner buying share new joint venture company operating alma medium home sale vehicle consumer advertising marketplace business,neutral
efore plant saarijarvi central finland one largest employer region,neutral
however short term rental becoming popular,neutral
emsa deputy chairman board juri lember told bns wednesday first time heard strike swedish side not informed estonian union yet,neutral
tesco close new chairman dixons carphone john allan frame,positive
device offer multimedia performance along host productivity application including live stock price,neutral
sale climbed pct bln eur surpassing mln eur consensus figure,positive
fb turn back early trading http co reufpzhbm,negative
utah capital wanted next u headquarters amer sport corp ski equipment company,neutral
old mutual first quarter sale buoyed emerging market,positive
dividend payable february shareholder record january,neutral
sale finland decreased january sale outside finland dropped,negative
furthermore bunge also sign licensing agreement sunnuntai carlshamn mejeri brand,positive
kesko corporation stock exchange release kesko corporation aspo plc today signed agreement aspo acquires share capital kauko telko ltd subsidiary wholly owned kesko,positive
lulu outlook q lost revenue range million million not good,negative
mobile communication wireless broadband provider nokia inc nyse nok today set new financial target forecast nokia mobile device industry also nokia siemens network mobile fixed infrastructure related service market,neutral
poyry plc additional information heikki malinen president ceo poyry plc tel poyry global expert consulting engineering,neutral
danish company flsmidth acknowledged violated patent held finnish metso,neutral
amanda capital investment private equity fund unquoted company mainly europe,neutral
net interest income eur mn eur mn,positive
jeder beta tester erh ñlt kostenlos sechs monate lang update und hat laut eigener aussage die âglichkeit die finale version zu beeinflussen,neutral
jp morgan expects scala lower nobel biocare growth forecast current guidance pct well operating margin target current pct,neutral
aviva promise higher dividend boost flagging share price,positive
addition mids always online enable full internet browsing,neutral
fiskars strong portfolio international brand include fiskars iittala gerber silva buster,positive
tesla model x recall add reliability issue tsla http co jvxqdoxnp,negative
name buyer not disclosed,neutral
net sale vegetable oil business rose eur mn eur mn,positive
agreement benefon forthcoming range twig integrated gps navigation mobile phone device use jointly developed web based tracking location technology consumer commercial application,neutral
following increase huhtamaki registered share capital eur number share outstanding,neutral
three year turn around program expected ensure salomon future competitiveness company said,positive
autumn plan expand service st petersburg moscow launch service yekaterinburg russia flying three time week,positive
company profit totaled l h year year,negative
federal secretary transport communication mexico awarded poyry mexican partner sintra consulting contract connection buenavista cuautitlan suburban railway,positive
fda approves astrazeneca drug advanced lung cancer,positive
order included metso fourth quarter order backlog,neutral
lieksaare oy earlier regarded control saarelainen oy individual shareholder shareholder agreement,neutral
ragutis controlled finnish brewery reported per cent rise beer sale million litre held per cent market share,positive
mcp rolling new intraday low bottom picker continue get destroyed,negative
company annual turnover eur,neutral
branch finland annual revenue finland,neutral
portfolio comprises leasable space vacancy rate roughly let around tenant two largest swedish government ericsson,neutral
wpp boost sale despite cautious client,positive
medium term operative target company remain unchanged,neutral
adp news feb finnish retailer kesko oyj hel kesbv said today total sale excluding value added tax vat stood eur million usd january year yea,negative
consumer well received packed fresh meat,positive
corrected chapter entirety,neutral
major part delivery include different ac cxe amplifier solution product dinh telecom company acquired teleste last spring,neutral
tietoenator us nokia intellisync mobile suite wireless email calendar device management capability company extend service customer,positive
provide heating form hot water sawmill need,neutral
however net sale declined eur million eur billion,negative
second quarter raute net loss narrowed eur eur million period,positive
dgi technical alert gilligan island buy setup stochastic buy signal lizard bullish hammer candlestick wid http stks co cnu,positive
record date dividend distribution march,neutral
h move enhance growth,positive
ebrd using fund provide million loan b portion million euro syndicated two finnish commercial bank nordea bank finland plc million euro pohjola bank plc million euro,neutral
stockholm march cybercom cybercom group high tech consultancy offer global sourcing end end solution,neutral
said losing five family month economy many make alternative arrangement save money,negative
milan afx italian shipping group grimaldi increased stake finnish company finnlines pct pct held june according news agency ansa,neutral
commenting deal shane lennon svp marketing product development gypsii said,neutral
external net sale printing business fell partly due termination printing contract ilkka yhtyma printing house print oy sector player hs medium ab december fall printing price,neutral
group intends relocate warehouse office space loudeac saint marcel morvillars east country already operates hook manufacturing distribution unit,neutral
firm headquartered vantaa southern finland employee,neutral
pm omx helsinki pct lower omx helsinki pct volume mln eur,neutral
honored recognized gartner specialist business process modeling analysis company many largest software vendor world,positive
westpac banking corp issue benchmark year frn deal euro,neutral
includes company brand share data category well distribution channel data,neutral
new share subscribed stock option shareholder right commence date entered trade register,neutral
aapl price momentum weakening going close,negative
acquisition solteq expand solution offering microsoft dynamic business software product,positive
company profit totaled l,neutral
leed internationally recognized green building certification system developed u green building council,neutral
however market share shrank per cent per cent year earlier,negative
talktalk hire bae system investigate cyber attack,negative
look like booking one way ticket week near losing week lulu http chart ly xbhb,neutral
ftse led lower glaxosmithkline,negative
exercise price option based safran software solution license maintenance sale well result company,neutral
full year operating result million negative,negative
company said production volume far indicate circuit capable targeted output rate tonne per day million tonne year,neutral
jun boy genius report delivered newstex nokia nyse nok n huh,neutral
come decision based preliminary economic operational environmental finding karvinen said,neutral
new majority owner aspocomp thailand co ltd certain private person belonging immediate circle aspocomp present joint venture partner saha pathana inter holding plc,neutral
mln euro mln base acquisition price paid cash rest subscription offering total new ixonos share,neutral
established srv group private finnish construction concern operation finland baltic country russia,neutral
business section also includes ahlstrom sustainability report,neutral
£lemiste city environment knowledge based economy providing work people total turnover company amounting eek bn said £lo p ñrnits chairman supervisory board £lemiste city mainor,neutral
jacob supporting storengy investment developing storage site since owner engineer,neutral
company earlier said considering different strategic option struggling low cost mobile operator including divestment holding,neutral
sainsbury asda tesco morrison cut petrol price oil fall,negative
barclays sell benchmark index unit bloomberg,positive
operating profit fourth quarter fell eurm eurm year earlier,neutral
finnish forestry company upm kymmene waste management company lassila tikanoja said jan planning produce ethanol energy commercial industrial waste,neutral
ism not disclose financial result daily said,neutral
contract cover manufacturing surface treatment installation steel structure,neutral
finnish metal industry solution supplier outotec oyj net profit rose mln euro mln first nine month mln euro mln period,positive
deal know pay sekm usd eur cash stock,neutral
first nine month company net profit rose eurm eurm corresponding period,positive
aapl dma turned macd crossover half hair away weekly eod break likely,positive
protalix million cash sale,neutral
bearish outside day tuesday significant day resistance still intact opinion sd http chart ly beyt,negative
right reserved,neutral
operated nokia supported nokia netact network service management system,neutral
mr priit kasak balti metsamasina owner said rakvere based company wish increase valmet market share third couple year,positive
shire see baxalta deal closing expected new rule,positive
sainsbury cfo rogers replace home retail ceo walden,neutral
marathon percent stake plx said according bloomberg,neutral
simmons elected dcuc chairman portsmouth n h gordon simmons ceo service credit union elected chairman defense credit union council term,neutral
sanoma news advertising sale decreased year,negative
pharmaceutical market czech republic global research data service published recently market analysis pharmaceutical market czech republic,neutral
finnish construction company yit reducing number start ups market financed residential unit previously announced,neutral
cash flow operation recent quarter also reached eight year low,neutral
tietoenator pct extending recent low last week second quarter report dealer said,negative
maritime administration said ship ignored warning icy condition,negative
synergy pharma soar today positive phase result sgyp http stks co jawg,positive
operating profit rose eur mn eur mn corresponding period,positive
making matter difficult company said grappling higher oil gas price pushed cost energy raw material transportation,negative
vrtx vertex monthly lower hi lower lo long term uptrend intract far,positive
financial detail not disclosed,neutral
include software development internet mobile telephone content communication value added software financial service security application system integration electronics ebrd informed,neutral
yit lodged counter claim neste oil totaling eurm primarily based work carried contract additional cost incurred due prolongation project,neutral
follow berkshire hathaway apple stock,neutral
total amount subscription price recorded fund invested non restricted equity,neutral
tsla th wave hour chart hammer candle developing close sma might good spot call,positive
strongest growth seen new market russia czech republic slovakia,positive
tower engineer created degree westward lean four time inclination leaning tower pisa using diagrid structure aligned geometrically using tekla structure bim building information modeling software,neutral
amer bought salomon adidas october said job cut aimed boosting competitiveness,neutral
acando ab acanb s fell percent kronor lowest close since dec,negative
measure suominen corporation aim ensure competitiveness flexible packaging business long term,positive
ifhedieshedies bullhorn znga short getting nervous,positive
financial statement release available publishing company internet page www cargotec com,neutral
world glass coming egypt invite visitor around world attend glass world exhibition register www glassworldex com,neutral
comparable operating profit totaled eur mn eur mn corresponding period representing net sale,negative
raw material come europe u paid euro u dollar sale take place ruble,neutral
adpnews may finnish cutlery hand tool maker fiskars oyj abp hel fisa said today net profit declined eur million usd first quarter eur million correspond,neutral
maximum new share subscribed exercising b option stock option plan,neutral
inspects company strategic strength weakness,neutral
planned closing date provided,neutral
lemminkainen group headquartered helsinki finland operates sector construction industry civil engineering building contracting technical building service building material industry,neutral
implementation deal subject approval finnish competition authority,neutral
microsoft also churned courtship agreeing use navteq mapping service offered company nokia bought billion year ago,positive
geosolutions team provides intriguing new technology combining gps mobile based technology together internet based social networking,neutral
c expo signature show dongguan supported dongguan municipal government every year featuring computer accessory software communication network product,neutral
pharmaceutical poland brand new market analysis give clear overview actual situation future outlook pharmaceutical market poland,neutral
trading new share right dividend distribution fund start exchange helsinki tomorrow,neutral
dual fuel engine vessel operate liquefied natural gas lng low emission,neutral
among finnish share traded u stora enso closed pct lower eur upm kymmene pct eur metso pct eur,neutral
addition presentation held president ceo kai telanne cfo tuomas itkonen participant opportunity discus member company management,neutral
change holding accordance chapter section finnish security market act described,neutral
capman partner able develop business continue focus providing quality restaurant service customer say christopher wynne ceo papa john russia,positive
crane would installed onboard two freighter ordered singaporean ship owner masterbulk,neutral
business divested generates consolidated net sale eur million annually currently employee,neutral
adpnews feb finnish real estate investor sponda oyj hel sdav said today slipped net loss eur million usd profit eur million,neutral
company eur bn asset count among five largest shareholder finnish insurer ilmarinen varma well finnish state pension fund ver,neutral
addition employee laid notice whole workforce laid short period needed,neutral
chessnwine iwm minute chart small cap threatening descending triangle breakdown http stks co rkkm,negative
corporate update c communication ltd finnish technology group teleste corporation omx helsinki tltv reported wednesday february operating profit eur net sale eur year,neutral
stockholm based nordea bank sto nda said yesterday hired casper von koskull lead corporate merchant banking capital market unit effective september,neutral
total need staff cut corresponds man year,negative
finnish fiber plastic product maker suominen corporation said net loss narrowed mln euro mln first nine month mln euro mln period,positive
companiesfresnillo share jump silver price break,positive
bluewin security available monthly subscription,neutral
operating profit eur mn eur mn,positive
finnish raisio diagnostics launching new dna based quick test ensure safety food,positive
non recurring cost caused talentum premedia business area restructuring amount mln euro mln included company financial result second quarter,neutral
finnish software developer basware oyj said november u subsidiary basware inc order provide software contract lifecycle management unnamed u medical technology company,positive
chain unite centre end,neutral
important thing keep bank existing customer,neutral
price stainless steel also rose europe,neutral
sweden gallerix accumulated sek denominated sale eur denominated sale,neutral
isrg isrg short http stks co fvvu http stks co cqrm,negative
dara breaking,positive
total new citycon share nominal value eur per share subscribed april exercising b c option based company stock option plan,neutral
aapl sure short holding breath hoping miracle lol,positive
management decided end increase cathode copper capacity,neutral
image data produced browser phone server converted bitmapped image sent handset display,neutral
shire say internal synergy goal baxalta deal higher,positive
one largest project magazine division sanomawsoy sanoma magazine international became launch russian magazine gloriya,neutral
finnish airline finnair starting temporary layoff cabin crew february,neutral
seller founder company,neutral
foodservice consumer good market served approximately people manufacturing unit several sale office country,neutral
acquisition not frozen food fish sector long synergy l ñnnen tehtaat business,neutral
gnrc finding support day line far,positive
transaction agreement metsaliitto purchase metsa botnia share upm real,neutral
britain ftse fall back ashtead commodity pressure,negative
sale seppala diminished per cent,neutral
bbry bye bye sammy hello bb sound like see green tomorrow,positive
capacity cut passenger load factor percentage point,negative
rockwell collins provider flight deck cabin information management solution business aircraft operator,neutral
floor area yliopistonrinne project sq building gross area total sq total facility let,neutral
nflx vision short term consolidation movement higher http stks co juu,positive
theodosopoulos said tellabs could value nokia siemens nortel given leading supply status verizon along high growth product,positive
current position manty worked since,neutral
new production plant company would increase capacity meet expected increase demand would improve use raw material therefore increase production profitability,positive
analyst view astrazeneca share seen recent volatility,negative
earnings per share eps dropped eur eur,neutral
transaction tikkurila powder coating related operation company said,neutral
arm holding plc domino pizza group plc asos plc must growth stock,neutral
pearl plaza llc joint venture srv shanghai industrial investment holding co ltd concluded investment decision construction first phase shopping center saint petersburg russia,positive
measure result decreased demand technical design product information,neutral
finnish financial group aktia report operating profit eur mn january september eur mn corresponding period,positive
key price watch nflx previous double top reject http stks co siyn,negative
finnish glass technology company glaston oyj abp net profit decreased mln euro mln first nine month mln euro mln period,neutral
city spirit sink diageo come short sale slide,negative
operating loss increased eur mn loss eur mn,neutral
alexandria va june michael g williams newbury park calif developed network device,neutral
olvi posted strong set figure first six month year,positive
stanchart rb struggle bank england stress test,negative
